exp,lg,nm,pfm,sea
42.59262887966783,La Liga,Real Valladolid,0.40737112033217016,12/13
49.700700297681585,La Liga,Athletic Club de Bilbao,-4.700700297681588,12/13
66.96407083694807,La Liga,Atlético Madrid,9.035929163051946,12/13
53.71255140373951,La Liga,Málaga CF,3.287448596260486,12/13
43.428433939797934,La Liga,Real Zaragoza,-9.42843393979793,12/13
41.85619749979212,La Liga,Levante UD,4.143802500207888,12/13
51.89394091017904,La Liga,Real Sociedad,14.106059089820963,12/13
41.248933372621174,La Liga,Granada CF,0.7510666273788176,12/13
43.598746631529636,La Liga,Rayo Vallecano,9.401253368470368,12/13
46.32553173567098,La Liga,RC Celta de Vigo,-9.325531735670978,12/13
71.54752782465728,Premier League,Manchester United,-7.5475278246572906,13/14
45.59529702175574,Premier League,Newcastle United,3.40470297824426,13/14
71.76590219440016,Premier League,Arsenal,7.234097805599849,13/14
43.69278277779438,Premier League,West Bromwich Albion,-7.692782777794368,13/14
39.357660705220056,Premier League,Sunderland,-1.3576607052200504,13/14
75.64117897987425,Premier League,Liverpool,8.358821020125742,13/14
40.94736716568598,Premier League,West Ham United,-0.9473671656859833,13/14
41.34075575907258,Premier League,Aston Villa,-3.3407557590725783,13/14
81.40331680614224,Premier League,Manchester City,4.596683193857741,13/14
62.045913866380175,Premier League,Everton,9.954086133619825,13/14
62.93579211724411,Premier League,Tottenham Hotspur,6.064207882755891,13/14
40.75370796827362,Premier League,Stoke City,9.24629203172638,13/14
39.72130965035542,Premier League,Hull City,-2.721309650355421,13/14
37.44074134221194,Premier League,Fulham,-5.4407413422119415,13/14
77.11504669431099,Premier League,Chelsea,4.884953305689029,13/14
49.9293750099817,Premier League,Swansea City,-7.929375009981698,13/14
38.60334627391832,Premier League,Norwich City,-5.603346273918314,13/14
54.66897416831904,Premier League,Southampton,1.3310258316809636,13/14
34.321054476110334,Premier League,Crystal Palace,10.678945523889663,13/14
37.03757782564948,Premier League,Cardiff City,-7.037577825649478,13/14
47.1178630699253,Ligue 1,FC Nantes,1.882136930074688,13/14
53.94234704363777,Ligue 1,Girondins de Bordeaux,-0.9423470436377639,13/14
45.2808773568465,Ligue 1,OGC Nice,-3.2808773568465046,13/14
48.20615520811346,Ligue 1,FC Lorient,0.7938447918865406,13/14
59.19341347496196,Ligue 1,Olympique Lyonnais,1.8065865250380444,13/14
50.43200927024056,Ligue 1,Toulouse FC,-1.4320092702405605,13/14
72.25677941728759,Ligue 1,AS Monaco,7.743220582712408,13/14
84.82602874678449,Ligue 1,Paris Saint-Germain,4.173971253215502,13/14
63.78728999288767,Ligue 1,LOSC Lille,7.212710007112314,13/14
48.074110499291024,Ligue 1,Stade Rennais FC,-2.074110499291018,13/14
60.620031086932705,Ligue 1,Olympique de Marseille,-0.6200310869327035,13/14
40.27947856219616,Ligue 1,FC Sochaux-Montbéliard,-0.27947856219616085,13/14
42.87729320057531,Ligue 1,Valenciennes FC,-13.87729320057532,13/14
60.99539009230371,Ligue 1,AS Saint-Étienne,8.004609907696281,13/14
51.86303130504655,Ligue 1,Montpellier Hérault SC,-9.863031305046553,13/14
32.80620758076712,Ligue 1,AC Ajaccio,-9.806207580767122,13/14
42.77981592957193,Ligue 1,Évian Thonon Gaillard FC,1.2201840704280704,13/14
42.915177553863046,Ligue 1,Stade de Reims,5.0848224461369504,13/14
